ID,ra,dec,z_abs,NHI,SNR_native,brightness,survey,cross_survey_confirmed,note
3.9628055584442936e+16,32.48658747926855,11.234615714800574,2.322809590252988,20.951475934681376,5.820805411521491,5.820805411521491,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<146 mA"
3.962846811101722e+16,35.897404810260284,29.45416673793589,4.072698537279735,20.342239304888,6.308378600393535,6.308378600393535,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<80 mA"
3.96284994550499e+16,32.04885222605272,30.95953298463478,2.022949570037163,20.72956238670164,5.535394307654723,5.535394307654723,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<123 mA"
3.962831146215165e+16,115.8371308943257,22.16250390291617,2.039721858674863,20.82384982372593,5.683781836125854,5.683781836125854,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<98 mA"
3.963296492500182e+16,110.30432078334132,34.20986784588315,3.323207331182482,21.0347638884766,6.2755097087463545,6.2755097087463545,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<128 mA"
3.963319082601929e+16,115.42116097253702,46.452057227070526,2.8343301150763147,20.622562374904973,5.69182874815809,5.69182874815809,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<188 mA"
3.962802921904811e+16,235.6571268436358,9.93302552259488,3.921114916754557,20.639991873612484,6.377348105611004,6.377348105611004,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<131 mA"
3.963295166680648e+16,240.66639071936208,33.55450694018933,2.378430432134243,20.66340958212782,8.035515647082713,8.035515647082713,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<178 mA"
3.962835383720745e+16,338.9058909486892,23.972239540531103,2.2244146316574,20.311667445585144,6.35979221255318,6.35979221255318,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<122 mA"
3.963328706851656e+16,283.1040572621142,52.40335487303606,2.280870256879526,20.52421343861831,7.788498983557745,7.788498983557745,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<177 mA"
3.9627544298786264e+16,4.999602220474511,-9.876440798269453,2.3688994713106464,21.162091889953185,8.834550593043042,8.834550593043042,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<117 mA"
3.962787564880206e+16,20.35894866845601,3.785208664550696,3.924191877267232,21.03211587353888,8.795999631109298,8.795999631109298,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<149 mA"
3.962801989091467e+16,31.764307990614505,9.683166578161988,3.9244841593695634,21.12784982616544,7.111569255252214,7.111569255252214,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<86 mA"
3.962806143549805e+16,27.77421600372408,11.437124203066109,2.286149808050272,20.49703175711036,8.689669182121008,8.689669182121008,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<73 mA"
3.9628025532256104e+16,12.889219328882811,10.070339475412688,2.5867952798588427,20.650465768661867,5.928403796867483,5.928403796867483,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<176 mA"
3.962792899196234e+16,328.35394036970075,5.771484796964739,3.851982771924405,20.61368919384441,5.3653441902281385,5.3653441902281385,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<103 mA"
3.9628055039184536e+16,359.45855623548806,10.885241078209226,2.610530213282852,20.94336915344768,6.6205608939330505,6.6205608939330505,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<175 mA"
3.962806692164702e+16,1.1959271181928024,11.788821026089906,3.9495159644800335,20.78259059957563,12.873759955276194,12.873759955276194,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<58 mA"
3.9628108478811336e+16,15.550071655523029,13.594199729981137,1.974372757453228,20.35707664952369,5.515342805524219,5.515342805524219,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<128 mA"
3.962819004543952e+16,6.625714575612434,16.949029615225786,2.705039678422576,21.05935965107896,6.069960962295959,6.069960962295959,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<174 mA"
3.962830971732225e+16,3.655051768199191,22.203480768538785,2.6535545142856507,20.638314578224023,6.107871020020092,6.107871020020092,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<159 mA"
3.962848872182845e+16,10.296552633894358,30.566400360754653,2.276616217472773,21.229652230636425,16.227692588867335,16.227692588867335,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<78 mA"
3.9627865427280024e+16,130.18563880539136,3.136312771121183,2.133311154553427,20.67026701719997,5.477089413429146,5.477089413429146,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<155 mA"
3.962759530990826e+16,200.9367776739747,-8.122303046237933,2.40745511250663,20.534346452184806,5.243295912795389,5.243295912795389,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<136 mA"
3.962791499556675e+16,210.68925175533823,5.1985338847977305,2.699287007740914,20.40647787931338,6.673407336470532,6.673407336470532,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<131 mA"
3.962767321491384e+16,189.4387404167147,-4.71389540114366,2.2804628286614217,20.54251973988016,7.173086270388783,7.173086270388783,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<133 mA"
3.962771504470545e+16,166.55590622171303,-3.0778030546956323,2.4414147152247785,20.57424527374401,5.501971424461469,5.501971424461469,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<167 mA"
3.962789617991834e+16,166.04309997053053,4.574181646158937,2.050311305292016,20.679343367748203,5.620177572936519,5.620177572936519,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<139 mA"
3.962776288913367e+16,138.4123976656391,-1.1179582706743283,2.679800867897654,20.824414359406404,6.376478211899725,6.376478211899725,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<146 mA"
3.962782933110503e+16,138.73862398648,1.805493509302829,2.112897781533753,20.90949571670951,7.597379557176001,7.597379557176001,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<194 mA"
3.962793260745055e+16,184.666523094596,6.083880498737132,2.655987785122647,20.31299111907488,6.451344705977908,6.451344705977908,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<137 mA"
3.96277899382037e+16,310.6906315896309,0.0660919150257265,2.142762907020656,20.72513151771634,6.036712566416466,6.036712566416466,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<192 mA"
3.962787332935367e+16,242.0402033449979,3.427665883908627,2.136616565381156,20.56465585174132,11.097240737323958,11.097240737323958,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<76 mA"
3.962802960072821e+16,258.6247813469491,9.882573604164316,2.4450306987748185,20.969986683499485,6.38486230636402,6.38486230636402,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<113 mA"
3.962819999853101e+16,266.7231634663451,17.178466850118383,1.9990556672970896,20.430179145697444,5.072372570205585,5.072372570205585,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<147 mA"
3.962756868027526e+16,37.52123736354241,-8.963163433201974,2.3502516050511044,20.51429276940265,5.0891016169912415,5.0891016169912415,DESI,False,"0/4 lines detected (matched-filter), 3sigma UL<154 mA"
