TARGETID,ra,dec,Z_QSO,SNR_FOREST,SNR_REDSIDE,DLAID,zDLA,Z_DLA_ERR,NHI,NHI_ERR,DELTACHI2
39627797567640604,45.46314572283163,0.5223629618140849,2.536768398150457,6.58879628845572,12.89740450036873,b'39627797567640604000',2.086372415102946,0.024621079941543847,21.220478026795288,1.001634181782169,0.7077240276951116
39627809655623322,45.9167345864546,1.0992192582945373,3.443428197148586,8.64125823032412,8.641063761012068,b'39627809655623322000',2.3939297634242647,0.023164297511672934,20.86130801897774,1.4863464805512485,0.0738785043905732
39627809634649639,44.55359328145616,1.1009255105709168,2.2300648497342768,6.177395867668281,14.882140059829112,b'39627809634649639000',1.9697011163375782,0.016288764405438413,20.725088117331804,0.9319045211772597,0.13851258195404248
39627815661864853,43.82031830176353,1.1928991409804515,2.8501102986345903,8.337258705570555,12.036085707371301,b'39627815661864853000',1.975025715817295,0.08020611196033221,20.862261472700723,4.836449676350772,0.06347157426467165
39627815670256963,44.41674411016407,1.2826892366318758,2.613928195670391,6.6405987952851895,11.89545278643977,b'39627815670256963000',2.2759539398332125,0.01546185806291277,20.542815793028584,1.2554491061656092,0.249076577630589
39627821718439126,44.790639846756186,1.3768612617637905,2.7919762148341754,5.747250191574806,10.403154134851814,b'39627821718439126000',2.2575379925965375,0.031455658350659964,21.37494987876692,0.9564987343722497,0.5524212109808684
39627827762430762,45.02523716294771,1.8445943706590138,2.745199419716919,11.037714724364061,16.461147578888795,b'39627827762430762000',2.1305937062570295,0.01816330029712649,20.82093498113317,1.158003614420901,0.23068230544301294
39627827762430762,45.02523716294771,1.8445943706590138,2.745199419716919,11.037714724364061,16.461147578888795,b'39627827762430762001',2.0808346007750886,0.021694120065049723,20.51609315668941,2.003665624472768,0.1497128709813471
39627833814811762,45.79743218108722,2.070038236022994,3.18923265856866,7.485150150968069,11.520377212826405,b'39627833814811762000',2.3901844119464317,0.030406336223861904,20.481449846018894,2.709772494828334,0.08143612038328363
39627833768679531,43.200641493355675,1.8843536958505898,2.655928257752809,11.56369788343164,16.83514831419462,b'39627833768679531000',2.4604864502953947,0.009208702261395753,20.486742539714434,0.8793986285385959,0.2682666755645706
