ID,z_abs,NHI_cat,S1_4_mJy,nu_obs_MHz,band,S_mJy_alpha+0.0,S_mJy_alpha-0.5,S_mJy_alpha-0.8,method,SEFD_Jy,Tsys_K,flux_case,S_used_mJy,NHI,Ts,tau,t_3sigma_hr,feasible_le10hr,alpha_used,S_mJy
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,2e+20,100,0.05485463521667581,588.8448228200645,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,2e+20,500,0.010970927043335162,14721.12057050161,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,2e+20,1000,0.005485463521667581,58884.48228200644,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,1e+21,100,0.27427317608337903,23.55379291280258,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,1e+21,500,0.05485463521667581,588.8448228200645,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha+0.0,78.1,1e+21,1000,0.027427317608337904,2355.379291280258,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,2e+20,100,0.05485463521667581,121.32499447613534,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,2e+20,500,0.010970927043335162,3033.1248619033836,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,2e+20,1000,0.005485463521667581,12132.499447613534,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,1e+21,100,0.27427317608337903,4.8529997790454145,True,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,1e+21,500,0.05485463521667581,121.32499447613534,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.5,172.0585760178689,1e+21,1000,0.027427317608337904,485.2999779045414,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,2e+20,100,0.05485463521667581,47.024039302859215,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,2e+20,500,0.010970927043335162,1175.6009825714802,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,2e+20,1000,0.005485463521667581,4702.403930285921,False,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,1e+21,100,0.27427317608337903,1.8809615721143689,True,,
39627875648802065,3.924191877267232,21.03211587353888,78.1,288.4545905543144,Band-3,78.1,172.0585760178689,276.3703818242563,"NVSS extrapolation (assumed alpha, no direct low-freq point)",407.89949067336386,155.00180645587827,alpha-0.8,276.3703818242563,1e+21,500,0.05485463521667581,47.024039302859215,False,,
