ID,ra,dec,zCNN,NHI_best,Flux,SNR,status,SiII1526_sigma,SiII1526_dv,SiII1526_3sigUL,CII1334_sigma,CII1334_dv,CII1334_3sigUL,OI1302_sigma,OI1302_dv,OI1302_3sigUL,AlII1670_sigma,AlII1670_dv,AlII1670_3sigUL,n_lines_ok,solo_hits,pair_hit,detected,candidate_metalpoor,max_3sig_UL
42182449.0,11.0964685,-5.701481,2.23507461,20.526112,1.593,3.086,ok,1.1175051,-450.0,0.4150787023714717,1.6007521,450.0,0.44535131381404536,2.110675,-50.0,0.40191354680627256,1.3104398,-100.0,0.5416155236177337,4,,False,False,True,0.5416155236177337
41719375.0,19.0881234,-5.7983127,2.14835972,20.516874,2.162,3.591,ok,6.6177115,150.0,0.2782229962985924,4.600138,0.0,0.35408179143732155,2.606513,100.0,0.3932779222377796,1.7573129,150.0,0.3776405049577571,4,"SiII1526,CII1334",True,True,False,0.3932779222377796
47477021.0,18.1184724,-4.644219,2.81578855,20.594295,2.443,7.124,ok,2.4825256,50.0,0.2328218020670037,10.394865,0.0,0.11234346696296743,5.249794,0.0,0.0742862291359472,2.9085486,0.0,0.2096538751129582,4,"CII1334,OI1302",True,True,False,0.2328218020670037
41306714.0,23.9874085,-5.9335189,3.05307217,20.518383,2.154,4.358,ok,3.7205656,-150.0,0.3921400931890863,4.214213,-100.0,0.13052669694373314,9.10872,-100.0,0.2342783259584681,2.2767131,-150.0,0.34422399598237363,4,"SiII1526,CII1334,OI1302",True,True,False,0.3921400931890863
42349561.0,24.1456009,-5.7616595,2.36809491,21.007312,1.782,4.049,ok,3.886461,-100.0,0.24403461646580818,9.129183,-150.0,0.1684048245307756,5.4861345,-100.0,0.12372443413401417,3.2107239,-150.0,0.3215439723341948,4,"SiII1526,CII1334,OI1302",True,True,False,0.3215439723341948
46604094.0,18.2536395,-4.6763089,2.4433743,20.614036,2.187,3.331,ok,1.1945554,-100.0,0.2946035043267036,2.1720364,0.0,0.22688434859477769,1.8563141,-400.0,0.1747578334217205,1.7296915,50.0,0.30326462549398153,4,,False,False,True,0.30326462549398153
47675614.0,27.8299852,-4.4515194,2.48726005,21.210646,1.744,3.301,ok,2.5388157,250.0,0.2907886150607256,3.2461658,350.0,0.3560817536626792,4.9536195,100.0,0.41269119269594945,3.6581607,250.0,0.3924091438022596,4,"OI1302,AlII1670",True,True,False,0.41269119269594945
32102205.0,40.8203774,-7.8847181,2.27856959,20.613247,2.237,4.052,ok,2.4937255,50.0,0.375911706849373,1.7474991,-500.0,0.35238932443568655,2.268725,-400.0,0.3388235061509156,1.5047657,150.0,0.4756922366384987,4,,False,False,True,0.4756922366384987
36950442.0,42.875828,-6.7973854,2.77732454,21.022135,1.554,3.586,ok,2.1345806,-450.0,0.3917262955988936,11.344338,-300.0,0.16458271177960118,20.355204,150.0,0.10283365247331079,-1.2297015,-100.0,0.33128620089061284,4,"CII1334,OI1302",False,True,False,0.3917262955988936
33153115.0,0.4820242,-7.5857475,2.46245698,20.366991,4.327,6.775,ok,4.340408,100.0,0.2130527620638082,11.870663,50.0,0.07791669337461793,15.373955,100.0,0.09474569508759154,-0.06248944,-350.0,0.2325396819557386,4,"SiII1526,CII1334,OI1302",True,True,False,0.2325396819557386
43088757.0,28.8780869,-5.5588161,2.80438439,20.705195,2.092,3.675,ok,2.371223,-150.0,0.4250433213412789,2.7060509,450.0,0.3686006998081481,4.760544,-100.0,0.4060430173084498,1.4828231,400.0,0.6236944131926903,4,OI1302,True,True,False,0.6236944131926903
45216063.0,11.1687985,-5.129803,2.78603218,21.228076,2.074,4.021,ok,3.5039277,250.0,0.5279647654832551,5.039866,200.0,0.17779805783144811,2.5887938,150.0,0.12316745285098674,1.0090108,450.0,0.49263013828504765,4,"SiII1526,CII1334",True,True,False,0.5279647654832551
30439590.0,3.4466764,-8.2913047,2.52439315,20.926201,3.099,5.535,ok,2.545857,-100.0,0.26626541962426364,3.2691674,-150.0,0.09358556250880987,9.625736,-200.0,0.16344558399499642,2.0862708,-500.0,0.3688193473965135,4,OI1302,True,True,False,0.3688193473965135
37964927.0,6.5594398,-6.5697592,2.40709471,20.537106,3.936,6.059,ok,10.059598,-100.0,0.15942823955608051,19.01061,-150.0,0.11099885253461098,18.754221,-50.0,0.08654297423004467,9.649635,-100.0,0.2252078166816051,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.2252078166816051
29406348.0,16.7242713,-8.4614921,2.27253471,21.156304,3.684,6.671,ok,16.357225,-50.0,0.1798824101533812,17.328138,50.0,0.14995609147562267,17.955227,-50.0,0.14336035879874512,11.806624,0.0,0.2769031034530639,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.2769031034530639
35891004.0,3.6864297,-6.876186,3.13603591,20.4885,3.482,9.062,ok,10.474886,50.0,0.13514478558475534,31.647352,0.0,0.05800411457179527,27.676853,50.0,0.050742439337858325,12.847662,0.0,0.10643864311968364,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.13514478558475534
33044336.0,6.6712073,-7.5124381,2.27027559,20.333094,24.676,6.647,ok,11.886925,-50.0,0.10144986113055673,13.930437,0.0,0.08543903786196784,10.250193,-50.0,0.06859845389517333,9.940141,0.0,0.10845723882246652,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.10845723882246652
40056856.0,9.79778,-6.1905122,2.54637137,20.632178,1.754,3.392,ok,2.3420246,-500.0,0.32773136641761186,1.4675986,50.0,0.2955966839715314,3.5850477,-450.0,0.2735845785172735,1.5041989,-100.0,0.5105321732297154,4,OI1302,True,True,False,0.5105321732297154
29923259.0,13.147605,-8.3226064,3.03073647,20.629206,2.802,7.266,ok,4.924597,-50.0,0.23588714762531732,11.497908,0.0,0.11354695217435623,11.265062,0.0,0.07547685754311087,4.4348407,50.0,0.16705589571514656,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.23588714762531732
32633274.0,14.8975103,-7.6059877,2.89838075,20.536963,1.909,3.318,ok,1.5927072,400.0,1.0594220160769223,3.852803,-100.0,0.4448727252851561,3.7988162,-50.0,0.28358122341591985,1.9007033,100.0,0.7444387796800137,4,"CII1334,OI1302",True,True,False,1.0594220160769223
31500986.0,20.3417315,-7.9659312,2.54066022,20.993353,3.532,5.857,ok,5.0671945,50.0,0.16932609026650186,9.207506,100.0,0.13324603320268644,7.199728,100.0,0.10915412383542547,2.2108333,200.0,0.3039608926170372,4,"SiII1526,CII1334,OI1302",True,True,False,0.3039608926170372
29662255.0,19.0734336,-8.4508266,2.63399506,20.402927,3.788,6.183,ok,2.4740412,150.0,0.2814012585853557,5.804725,-100.0,0.1768022841795032,1.9295068,450.0,0.17625937107373035,1.3181752,-200.0,0.38644393473616956,4,CII1334,False,True,False,0.38644393473616956
35979314.0,24.6858127,-6.980374,2.83958553,20.918886,4.321,7.39,ok,5.4142795,50.0,0.24457792301256387,19.241783,-300.0,0.11550312502649598,2.1312766,500.0,0.16964576063839315,4.9457297,0.0,0.2515995259664791,4,"SiII1526,CII1334,AlII1670",True,True,False,0.2515995259664791
22494771.0,357.5859393,-10.3897752,2.27404252,20.556277,2.283,3.755,ok,2.9797053,-50.0,0.32249078392408287,7.496824,0.0,0.21251831094743864,4.9206343,0.0,0.2757944918954823,3.9303486,-100.0,0.42983911183936835,4,"CII1334,OI1302,AlII1670",True,True,False,0.42983911183936835
29580873.0,25.1517525,-8.4899465,2.31271678,20.823514,2.745,4.948,ok,10.056349,150.0,0.15979776870307577,13.269697,200.0,0.13193104260698113,12.607435,150.0,0.1173876468235705,11.302294,200.0,0.1798380039412079,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1798380039412079
38374035.0,21.1232624,-6.4036942,2.51224065,20.393256,2.038,3.611,ok,3.7547512,150.0,0.3535980697315515,2.021542,50.0,0.30271437943651813,4.572332,500.0,0.1950521945180646,1.7589442,-350.0,0.5033254632770645,4,"SiII1526,OI1302",False,True,False,0.5033254632770645
21846288.0,357.2353608,-10.6919946,2.99746128,20.531173,14.799,19.005,ok,9.415693,50.0,0.09723577692782884,23.49217,0.0,0.05258363748590897,18.12674,50.0,0.045308951526680234,5.8779774,0.0,0.09165778492840905,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.09723577692782884
24522535.0,29.8995445,-9.7535441,2.73752593,20.828066,2.952,4.502,ok,2.6003609,400.0,0.6110409857338168,8.598775,350.0,0.25772069023509675,15.388936,350.0,0.10831030525762711,2.135801,50.0,0.7495989352894198,4,"CII1334,OI1302",True,True,False,0.7495989352894198
43217724.0,34.9304001,-5.4355293,2.2793239,20.726628,1.565,3.573,ok,3.7535117,-250.0,0.3056326529298262,4.6254706,-450.0,0.33483563519777493,2.6815798,-250.0,0.40233002857438005,2.7526321,250.0,0.4132795962938733,4,"SiII1526,CII1334",True,True,False,0.4132795962938733
26211689.0,27.5755822,-9.4310606,2.54147639,21.017034,4.965,10.923,ok,6.0074444,-50.0,0.10062881829303778,20.990213,0.0,0.09134171653621448,9.901494,450.0,0.10566499624330804,6.180616,0.0,0.18052741443349676,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.18052741443349676
44522126.0,31.0993638,-5.2232164,3.50281773,20.59708,0.734,3.696,ok,2.3601487,-50.0,0.4158231220920037,1.9306216,350.0,0.27620677409615685,2.1115177,450.0,0.18129188707262112,2.5571246,250.0,0.3172675583069072,4,,False,False,True,0.4158231220920037
47394195.0,31.4748324,-4.5386399,2.29521913,20.651159,9.477,16.669,ok,5.321358,-150.0,0.060143696216892,3.3081648,-100.0,0.0414038617205953,15.34403,-100.0,0.054342217695755625,3.6077085,0.0,0.06661162950891268,4,"SiII1526,OI1302,AlII1670",True,True,False,0.06661162950891268
25970786.0,26.5147774,-9.4993851,2.70667352,20.995754,1.175,3.031,ok,4.4722767,50.0,0.3009598176205579,10.643327,0.0,0.16529876059078322,9.168243,50.0,0.1509274051299152,4.116471,150.0,0.2596001104788164,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.3009598176205579
25161625.0,26.3163352,-9.6646518,2.57013254,20.428195,9.78,14.958,ok,15.087464,-50.0,0.08458608105025793,37.008827,50.0,0.05308585141101242,25.394993,-100.0,0.07269645394012768,9.169934,0.0,0.1420377918209767,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1420377918209767
23249470.0,27.3204296,-10.1224912,2.73064837,20.504916,1.824,3.677,ok,1.2651958,300.0,0.40591157085841156,2.6091814,-100.0,0.2328394358830383,3.4186192,-100.0,0.13896096494762605,1.9495914,0.0,0.3422434964191831,4,OI1302,True,True,False,0.40591157085841156
25303204.0,26.8976042,-9.6231409,2.55700361,20.37802,4.726,8.376,ok,5.7214365,-50.0,0.16631079060699339,10.679353,-350.0,0.07427993421277224,12.202425,500.0,0.10952676663730632,3.8435547,0.0,0.2827296535900169,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.2827296535900169
44707487.0,32.7449976,-5.1856249,2.5866112,20.538319,2.676,7.643,ok,10.411776,100.0,0.13368031099586294,21.51211,350.0,0.11920194161362893,7.745874,100.0,0.1570179343970321,6.675829,50.0,0.21073073593575503,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.21073073593575503
45422434.0,35.7156745,-5.1201559,3.24506337,20.586341,0.951,3.179,ok,3.800156,-50.0,0.2473320787367913,6.0006714,250.0,0.4350288103757423,3.9298668,300.0,0.3726870315728811,2.53282,0.0,0.23114565758834038,4,"SiII1526,CII1334,OI1302",True,True,False,0.4350288103757423
46206639.0,11.9278015,-4.9013737,2.22021079,20.807983,2.623,4.662,ok,4.0627704,50.0,0.2426374850800369,8.280604,0.0,0.11991613067229398,13.30571,-50.0,0.16976887149817374,3.239696,100.0,0.25911374958708544,4,"SiII1526,CII1334,OI1302",True,True,False,0.25911374958708544
55535884.0,167.202823,-2.8316115,2.72721301,20.507952,1.528,4.914,ok,2.0319698,450.0,0.39881571365914936,5.349515,50.0,0.15179477108338946,11.102165,150.0,0.0925030249735041,3.386147,200.0,0.22420412288283167,4,"CII1334,OI1302,AlII1670",True,True,False,0.39881571365914936
54772291.0,189.7254491,-2.9411667,2.42597617,20.725631,2.192,5.144,ok,2.242893,-100.0,0.19610442934921088,5.543658,0.0,0.2621769769150085,4.884933,100.0,0.27875031503317627,2.242472,0.0,0.28511782644523737,4,"CII1334,OI1302",True,True,False,0.28511782644523737
56256704.0,178.4191375,-2.7804034,2.38052637,20.777049,1.898,3.758,ok,2.4154751,-300.0,0.3366212835967837,2.9716632,200.0,0.16011288954943637,7.31647,-300.0,0.16565478233854286,-0.79131275,250.0,0.3723309490940929,4,OI1302,True,True,False,0.3723309490940929
58934010.0,143.3025939,-2.294473,2.97268753,20.443728,0.941,3.609,ok,2.02546,150.0,0.5001527908033894,3.1651049,50.0,0.14161357947040207,7.55428,300.0,0.2892376566537411,4.8951883,0.0,0.3626898280910262,4,"OI1302,AlII1670",True,True,False,0.5001527908033894
45098322.0,28.832273,-5.1566601,2.29597716,20.367645,1.626,3.581,ok,3.6954877,50.0,0.27177199180171085,7.521129,0.0,0.3289904330825426,3.7269983,0.0,0.26145094925720497,0.9677542,200.0,0.3719799119216474,4,"SiII1526,CII1334,OI1302",True,True,False,0.3719799119216474
56414399.0,159.2551226,-2.7281581,2.43387353,20.511525,1.374,3.151,ok,1.6225592,300.0,0.41914298364402774,8.104888,50.0,0.20671864319306063,0.8911005,-400.0,0.20781919132391055,2.8365362,-500.0,0.5072940795578784,4,CII1334,False,True,False,0.5072940795578784
57912847.0,141.9863806,-2.5095625,3.04095702,20.973164,0.692,3.156,ok,0.5604567,500.0,0.6224300923432963,7.653648,100.0,0.13744561322835117,2.753162,500.0,0.27561002983293675,1.5082031,-350.0,0.3429035708936351,4,CII1334,False,True,False,0.6224300923432963
59251304.0,193.1767016,-2.2641578,2.7007037,21.148758,1.481,4.32,ok,2.8850946,50.0,0.3535410608692958,6.401076,400.0,0.1873058385704156,8.327456,-100.0,0.2674340257766201,1.7180824,200.0,0.5258020728666053,4,"CII1334,OI1302",False,True,False,0.5258020728666053
54592129.0,161.6537193,-2.9493436,2.39065975,20.578581,3.157,5.404,ok,7.42196,50.0,0.19986686576398782,16.03839,0.0,0.16080672177703406,10.380226,50.0,0.14863765018696568,7.9026136,0.0,0.2605102929383105,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.2605102929383105
58238572.0,169.5408881,-2.589171,2.83428367,20.928047,1.068,3.857,ok,5.537704,50.0,0.36429403182741055,16.859926,50.0,0.1523790769078417,3.8979151,150.0,0.5860766730845883,6.575354,50.0,0.3388753010553477,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.5860766730845883
52991975.0,154.5251102,-3.2239679,2.30661924,20.308806,3.504,5.695,ok,9.961469,150.0,0.10568698616650006,16.5047,100.0,0.07716885501617364,14.400821,-500.0,0.09260543264530569,3.474061,150.0,0.11791531730327659,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.11791531730327659
58063431.0,141.1319678,-2.62401,2.91006814,20.664306,1.945,7.247,ok,4.753972,50.0,0.33741647120417567,15.953084,50.0,0.1396914356934873,15.638733,50.0,0.121402873290106,4.7605586,50.0,0.3369318527284336,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.33741647120417567
59267470.0,176.4913382,-2.4615386,2.43624571,20.564276,1.26,3.763,ok,6.270691,-150.0,0.323448623123915,7.0849857,-100.0,0.2920693078266801,7.1971936,-200.0,0.38842228563719594,5.141037,-150.0,0.4850942798734569,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.4850942798734569
56972241.0,214.7820681,-2.797571,2.19362696,20.452771,1.975,3.151,ok,4.986476,50.0,0.32189332761049677,6.5427527,-100.0,0.18629175447866664,7.8496222,-500.0,0.254949614203795,1.7745322,-100.0,0.4656842785564675,4,"SiII1526,CII1334,OI1302",False,True,False,0.4656842785564675
58516617.0,215.389561,-2.5693926,2.63399506,20.60383,2.229,5.08,ok,1.8485953,-100.0,0.3149828710987431,6.422627,100.0,0.19701690955699575,2.9277012,350.0,0.1770630999602753,1.6770272,250.0,0.40240214055469703,4,CII1334,False,True,False,0.40240214055469703
