ID,zCNN,SNR,status,n_lines_ok,max_3sig_UL_boxcar,boxcar_candidate,recheck_max_sigma,recheck_line,recheck_dv_kms,missed_gt_4sigma
180066713.0,2.71778614,8.232,ok,4.0,0.24975255309701855,True,21.373438526557372,OI1302,378.7490539550781,True
209410407.0,2.21280451,5.72,ok,4.0,0.24153819849323627,True,5.215290935179394,CII1334,-285.2488098144531,True
218191330.0,2.62897717,8.701,ok,4.0,0.2762207317287534,True,17.03097676640222,OI1302,378.91064453125,True
265003260.0,3.04840854,9.45,ok,4.0,0.26722278006121253,True,6.988019137093924,OI1302,171.5208282470703,True
313930603.0,3.40437423,7.799,ok,4.0,0.22360625751711988,True,22.459548213814273,OI1302,448.1407470703125,True
331205714.0,3.04933998,10.629,ok,4.0,0.1879406287730228,True,18.89943508846574,OI1302,448.1224365234375,True
380643840.0,3.03444898,11.008,ok,4.0,0.25388028271550017,True,6.2129774676287655,CII1334,-9.135171890258789,True
401487566.0,2.39222179,5.327,ok,4.0,0.28802590216635465,True,6.161336951434642,OI1302,309.88275146484375,True
433462230.0,2.2793239,5.246,ok,4.0,0.27085672334067146,True,3.3589029818331353,OI1302,33.525718688964844,False
441120021.0,2.72893049,13.189,ok,4.0,0.17834476126166995,True,6.638550301686597,CII1334,59.8018684387207,True
504367478.0,3.32996303,7.551,ok,4.0,0.2876834552326667,True,2.112623045189815,OI1302,-311.41510009765625,False
50540093.0,3.73243111,9.177,ok,4.0,0.15839600048316085,True,4.997245709495804,CII1334,474.3625183105469,True
83291431.0,3.88747251,7.719,ok,4.0,0.28422937476358884,True,2.036099685696969,OI1302,309.703125,False
145966598.0,3.60028036,9.137,ok,4.0,0.262232455839462,True,2.3353746905336967,OI1302,-311.5411071777344,False
169374872.0,2.41259147,5.749,ok,4.0,0.28899602406625224,True,13.69684214862032,OI1302,448.0660705566406,True
200450587.0,3.44308263,7.945,ok,4.0,0.2928378081143146,True,3.704509621860273,AlII1670,-211.03273010253906,False
301520688.0,2.47203728,5.106,ok,4.0,0.2577266437612148,True,10.914190665493523,CII1334,197.79759216308594,True
332071702.0,3.44615209,4.679,ok,4.0,0.2586856454330019,True,18.217866534050053,SiII1526,456.0796813964844,True
231277222.0,2.21354428,7.659,ok,4.0,0.19391419547534933,True,4.5144439884272245,SiII1526,41.4730224609375,True
512962328.0,3.94406545,6.302,ok,4.0,0.2867908959523362,True,2.8897823961233287,SiII1526,-27.48025894165039,False
514623228.0,2.58661048,16.554,ok,4.0,0.18430514633084563,True,2.2696861720556454,AlII1670,203.21519470214844,False
510665547.0,2.39769395,12.546,ok,4.0,0.23569370503070475,True,4.981172684431456,SiII1526,-441.4110412597656,True
549661912.0,2.31806062,11.077,ok,4.0,0.24470964675507706,True,10.683044367870828,CII1334,474.28399658203125,True
346634938.0,3.37808584,11.617,ok,4.0,0.21669314118955077,True,3.3908804748361003,OI1302,33.53377914428711,False
69588576.0,2.5390295,17.528,ok,4.0,0.15821009491039012,True,2.86160637607067,CII1334,-147.1594696044922,False
65512185.0,2.44734065,5.739,ok,4.0,0.26151342341650863,True,2.8597109441572166,AlII1670,-417.8431701660156,False
140461143.0,2.04989087,15.517,ok,4.0,0.2075534034757258,True,12.51083227876505,CII1334,474.3753967285156,True
154317356.0,2.92178887,11.45,ok,4.0,0.13930229999852867,True,1.8776710367552183,OI1302,-35.42891311645508,False
165420218.0,2.0541073,4.065,ok,4.0,0.2729798870552082,True,2.8982100762224263,CII1334,474.2951354980469,False
164892407.0,2.26425597,4.973,ok,4.0,0.28488922998352384,True,16.47397458043076,CII1334,474.4737548828125,True
164444271.0,2.21206438,4.765,ok,4.0,0.25289793055729914,True,5.213049454779414,OI1302,33.562782287597656,True
158902515.0,2.0275016,4.738,ok,4.0,0.2643118389952802,True,5.792458625516041,OI1302,-449.4919738769531,True
188672252.0,3.04933998,16.01,ok,4.0,0.17966566985803548,True,3.8766614883026986,OI1302,33.563377380371094,False
215584551.0,2.50900852,11.12,ok,4.0,0.27292708630521556,True,6.247523274375464,SiII1526,-372.5409851074219,True
237027544.0,3.84489536,9.381,ok,4.0,0.28349598121396236,True,6.347063348042648,AlII1670,479.5408630371094,True
241263627.0,3.14366128,9.602,ok,4.0,0.2603357913909652,True,3.3687774696654222,CII1334,-9.132644653320312,False
286256548.0,3.35897424,13.03,ok,4.0,0.1786934838262107,True,2.660255852677836,AlII1670,-4.060096263885498,False
321112416.0,3.02888042,8.382,ok,4.0,0.23186670866208195,True,3.3463824622719094,AlII1670,65.04310607910156,False
323613551.0,2.11518835,5.264,ok,4.0,0.27450389255144925,True,4.201584900256469,CII1334,474.2911071777344,True
323420112.0,2.12236895,13.36,ok,4.0,0.20845007590289055,True,31.177037334353702,SiII1526,387.0124206542969,True
335045929.0,2.87689778,10.757,ok,4.0,0.20082376662708448,True,14.024381490924444,CII1334,474.2737121582031,True
337474503.0,3.14747982,15.94,ok,4.0,0.1395926985860368,True,2.308620155553301,OI1302,-104.51444244384766,False
357433147.0,2.62814253,10.112,ok,4.0,0.25028758396919365,True,2.5388513989449453,SiII1526,-96.61776733398438,False
361645673.0,2.72979003,9.709,ok,4.0,0.2681246076413918,True,13.179865900773303,OI1302,447.9666442871094,True
363031696.0,3.15704004,9.513,ok,4.0,0.2467706384328298,True,13.166611560166732,CII1334,405.2398681640625,True
374885731.0,2.08236622,5.534,ok,4.0,0.2613564787333601,True,2.8584949655567953,OI1302,-449.3140869140625,False
377573229.0,2.4204583,7.718,ok,4.0,0.2552420065538647,True,2.516782707359404,CII1334,59.71137619018555,False
389691785.0,2.05903401,9.689,ok,4.0,0.2164361806001033,True,14.266176115226362,OI1302,378.8951110839844,True
386711526.0,2.78864871,13.226,ok,4.0,0.13794377733036772,True,2.7912370238592024,OI1302,-311.5802307128906,False
412208742.0,2.08947312,6.993,ok,4.0,0.18350289262266883,True,6.058606148099466,OI1302,-449.49945068359375,True
406051983.0,2.0541073,12.22,ok,4.0,0.23614854062611673,True,8.390828381429689,SiII1526,-441.37255859375,True
419383804.0,2.82458368,9.698,ok,4.0,0.2257202432989876,True,2.8549370117056054,CII1334,129.00216674804688,False
420921995.0,2.99286191,10.638,ok,4.0,0.21916487946129326,True,7.089876603145083,CII1334,267.0199279785156,True
429852016.0,3.11987842,13.96,ok,4.0,0.172945336511228,True,3.8560207552012717,OI1302,171.51951599121094,False
442653991.0,2.92359552,24.391,ok,4.0,0.11092680347332175,True,9.273939142769558,SiII1526,317.8298645019531,True
472541407.0,3.04468117,6.292,ok,4.0,0.2985655311136026,True,1.1572977602258707,CII1334,128.7892303466797,False
