ID,survey,z_abs,lam_obs_nm,arm,band_used,mag_cont,z_qso,forest_applies,mag_corr,mag_eff,mag_ref_fig16,sn_at_1hr,t_hr_sn30,t_hr_sn40
39628066921647023,DESI,3.949516,601.697811572,VIS,rmag,18.6721,4.030830565458142,True,1.03200722201708,19.70410722201708,20.7,25.02402188481647,1.4372366623414077,2.555087399718058
39627873329353669,DESI,2.136617,381.309118839,UVB,gmag,19.4232,2.379150252262983,True,0.17263381716644405,19.595833817166444,21.5,57.765225510923855,0.26971777177439915,0.4794982609322651
39627544298786261,DESI,2.368899,409.546944733,UVB,gmag,19.4343,2.578142305095886,True,0.22842821690320259,19.662728216903204,21.5,54.31361546981244,0.3050879698286833,0.5423786130287704
356960035,SDSS,2.457676,420.339298292,UVB,gmag,19.6254,2.467627,True,0.2529480078234183,19.87834800782342,21.5,44.53083071242218,0.4538589621635941,0.8068603771797228
39628061435498050,DESI,2.28615,399.48739704999997,UVB,gmag,18.6205,2.4350312347648586,True,0.2072103136183824,18.827710313618383,21.5,117.19683262616061,0.06552556288114694,0.11648988956648346
357580815,SDSS,2.437829,417.92655804299994,UVB,gmag,20.0396,2.441141,True,0.2473040146057604,20.28690401460576,21.5,30.565984895028706,0.9633092291161625,1.7125497406509553
167657155,SDSS,2.539029,430.229138443,UVB,gmag,19.3105,3.251141,True,0.27709110272242604,19.587591102722428,21.5,58.20543762909489,0.26565340792802344,0.47227272520537505
39627829331105031,DESI,2.112898,378.425671166,UVB,gmag,20.383,2.6625251685917912,True,0.16757267234642492,20.550572672346423,21.5,23.975679864855923,1.565671504162084,2.7834160073992606
39627673214913842,DESI,2.280463,398.796045521,UVB,gmag,19.8935,2.4147956272780213,True,0.2058081593771879,20.099308159377188,21.5,36.330948501472314,0.6818503016077749,1.2121783139693776
39628019890914673,DESI,3.924484,598.654746428,VIS,rmag,19.5753,4.146649865624052,True,1.0116979955790952,20.586997995579093,20.7,11.096877754110892,7.308712960387105,12.993267485132629
357433147,SDSS,2.62814253,441.06240294451,UVB,gmag,19.3532,2.632283,True,0.3054635798093255,19.65866357980933,21.5,54.51732875406893,0.3028122033586073,0.5383328059708575
39627630147799297,DESI,2.194707547121217,388.37101238088496,UVB,gmag,19.8147,2.38435995150015,True,0.1855097616237084,20.000209761623708,21.5,39.803026463479966,0.5680810714237096,1.009921904753261
39627914995566750,DESI,2.699287007740914,449.71122367003966,UVB,gmag,20.1025,2.8693249472720384,True,0.3296245057933104,20.43212450579331,21.5,26.739310089460638,1.2587576242446608,2.2377913319905076
