ID,zQSO,zCNN,Conf,NHIcnn,Flux,SNR,Plate,MJD,Fiber,ra,dec,NHIfit,NHI_best
24522535,2.9470778,2.73752593,1.0,20.5598,2.952,4.502,7184,56629,104,29.8995445,-9.7535441,20.828066,20.828066
43217724,2.80454854,2.2793239,1.0,20.648821,1.565,3.573,7236,56605,337,34.9304001,-5.4355293,20.726628,20.726628
44522126,3.75216788,3.50281773,1.0,20.608942,0.734,3.696,7238,56660,692,31.0993638,-5.2232164,20.59708,20.59708
47394195,2.64243684,2.29521913,1.0,20.686168,9.477,16.669,7238,56660,755,31.4748324,-4.5386399,20.651159,20.651159
44707487,3.0371127,2.5866112,1.0,20.43449,2.676,7.643,7238,56660,989,32.7449976,-5.1856249,20.538319,20.538319
45422434,3.76284141,3.24506337,1.0,20.618214,0.951,3.179,7883,57331,124,35.7156745,-5.1201559,20.586341,20.586341
45098322,2.72199151,2.29597716,1.0,20.366087,1.626,3.581,7892,57333,123,28.832273,-5.1566601,20.367645,20.367645
46206639,2.56022047,2.22021079,1.0,20.864412,2.623,4.662,7906,57333,245,11.9278015,-4.9013737,20.807983,20.807983
58934010,3.34757361,2.97268753,1.0,20.417535,0.941,3.609,3767,55214,344,143.3025939,-2.294473,20.443728,20.443728
56414399,2.66141121,2.43387353,1.0,20.5415,1.374,3.151,3771,55544,420,159.2551226,-2.7281581,20.511525,20.511525
55535884,2.99672598,2.72721301,1.0,20.248409,1.528,4.914,3773,55240,130,167.202823,-2.8316115,20.507952,20.507952
56256704,2.64727228,2.38052637,1.0,20.678245,1.898,3.758,3776,55209,444,178.4191375,-2.7804034,20.777049,20.777049
54772291,2.97656774,2.42597617,1.0,20.758738,2.192,5.144,3778,55213,88,189.7254491,-2.9411667,20.725631,20.725631
59251304,3.10832929,2.7007037,1.0,20.970025,1.481,4.32,3779,55222,190,193.1767016,-2.2641578,21.148758,21.148758
