ID,ra,dec,zDLA,NHI,SNR_FOREST,status,SiII1526_sigma,SiII1526_dv,SiII1526_3sigUL,CII1334_sigma,CII1334_dv,CII1334_3sigUL,OI1302_sigma,OI1302_dv,OI1302_3sigUL,AlII1670_sigma,AlII1670_dv,AlII1670_3sigUL,n_lines_ok,solo_hits,pair_hit,detected,candidate_metalpoor,max_3sig_UL,MH
39628057190859746,129.88748153666867,11.201830416536476,2.4645490696519654,20.479943950806305,5.649798944062773,ok,13.25531703602873,50.0,0.1295543975457609,19.736354649761502,0.0,0.11772369560422359,25.9954403195225,50.0,0.0696888335127566,13.13077670147035,50.0,0.14236058060955367,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.14236058060955367,-1.1
39628480366775997,155.4856517832664,30.02790448703336,2.947833553477797,20.481754041816547,22.722128387624647,ok,16.326943299229388,100.0,0.045694269676654575,39.23441485535919,100.0,0.034777475457984625,24.104529139507246,100.0,0.032403117029909695,17.493421916441598,100.0,0.04125934250251163,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.045694269676654575,-2.11
39633009950852542,152.17180628978025,36.3887074023669,2.7983419955073274,20.529974023973768,23.19516554840772,ok,22.951620134632414,0.0,0.04052151836624322,106.69343914267247,0.0,0.01805531986379092,110.71287581845115,250.0,0.019616819025678616,58.87579775536798,100.0,0.031357155778416745,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.04052151836624322,-1.62
39628526546061698,123.16952553840385,32.13571579953545,2.6261625585831765,21.27904859356301,10.577458392409577,ok,42.01192271022309,0.0,0.04538301370536861,50.34805667266097,-50.0,0.03740416397266194,38.9377489193673,0.0,0.04257644290478432,48.09678209189541,0.0,0.04016899087679757,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.04538301370536861,-0.87
39632994922662392,126.41718944000772,35.737289447105645,3.6564306466492655,20.437900703118903,9.314503060940456,ok,35.070851504726576,0.0,0.05118178449934524,45.43595404365581,0.0,0.04256070958027483,37.10566632383999,500.0,0.03928595727671669,33.82006968617622,-50.0,0.04734259703489253,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.05118178449934524,-1.83
39628476264746128,233.9741695240875,29.720465633462812,3.763587543748804,20.79616613584041,6.925545435038357,ok,5.8035743741046435,-50.0,0.09293298617474507,14.162954742944912,-150.0,0.08162628354987822,6.782277503285423,-150.0,0.06552943863980012,5.544799125126145,-100.0,0.07569019068084969,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.09293298617474507,-1.97
39628523018653064,235.47278961126875,31.89149904889498,2.443263773795192,20.851646239978557,27.14435393585767,ok,,,,,,,,,,,,,0,,False,False,False,,-1.49
39632971027713774,189.6705643122561,34.617612215565885,2.4709957296578446,20.781822171854245,23.10566574393652,ok,23.780934032242875,0.0,0.04197429726517453,31.114057675696568,350.0,0.03128534426383796,33.73463960453193,500.0,0.03145121791527769,18.54085465425981,0.0,0.03933238428573948,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.04197429726517453,-2.04
39628060407896588,325.37244777838606,11.332857259877194,2.4296985153622788,20.499660425019584,8.438373183104506,ok,5.182396625067065,-300.0,0.09442903142784177,6.581491441835821,-300.0,0.100820753560971,9.058770266220268,-300.0,0.07701002832109678,2.2329613826636705,-300.0,0.12586710497172476,4,"SiII1526,CII1334,OI1302",True,True,False,0.12586710497172476,-1.92
39627580415935116,24.755853178030616,-8.41223446720267,2.678149372042581,20.675807159407974,9.375065255517782,ok,18.51368467266317,0.0,0.08608113580942235,52.51002245412541,-50.0,0.032775481429091244,34.699827727538036,-50.0,0.055946216729113776,28.63350370021364,-50.0,0.06377151801410433,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.08608113580942235,-1.15
39627766974382248,21.752877285109484,-0.7664298135708846,3.728325700939097,21.212694512472705,17.549899437398583,ok,23.798725533381706,0.0,0.03665948882804661,47.60149887981304,0.0,0.02422556584969137,57.21266200247368,-50.0,0.02124546276390149,15.070570424965805,50.0,0.02437045840111573,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.03665948882804661,-2.42
