desi_targetid,rafelski_qso,sep_arcsec,z_dla,z_metal,MH,NHI,SNR_FOREST,dv_kms
39627784783397841,Q0010-002,0.05,2.0229468699871895,2.025,-1.16,20.768107416803286,6.502990034446968,-203.4753365732214
39632940757420854,Q1215+33,0.17,1.9974003031308856,1.9991,-1.43,20.671260705487445,29.254499985871,-169.9030716704176
39627803582269719,J0255+00,0.1,3.9120033233285794,3.9146,-1.73,21.342968845922922,10.595665682035866,-158.39825864902025
39628440931930787,PSS2323+2758,1.19,3.682898187748366,3.6853,-2.54,20.595525593153567,6.352019128870557,-153.68177033953427
39628096390827710,Q2343+125,2.38,2.4300496745240965,2.4313,-0.58,20.370045502101316,37.31016722445971,-109.24085557108795
39628131639756377,J2343+1410,0.07,2.6758541565114924,2.6768,-1.97,20.537018489959173,14.064435177499917,-77.1205244514285
39628480366775997,BQ1021+3001,0.07,2.947833553477797,2.9487,-2.11,20.481754041816547,22.722128387624647,-65.78218973758351
39628057190859746,Q0836+11,0.4,2.4645490696519654,2.4653,-1.1,20.479943950806305,5.649798944062773,-64.96501163653943
39627772607341892,Q2348-01,0.21,2.4256605278733656,2.4263,-0.64,20.48951435341976,23.56407720037848,-55.95217017370942
39633009950852542,Q1008+36,0.09,2.7983419955073274,2.7989,-1.62,20.529974023973768,23.195165548407722,-44.03525716217924
39632971027713774,J1238+3437,0.6,2.4709957296578446,2.4714,-2.04,20.781822171854245,23.10566574393652,-34.91306088934384
39627984105114814,Q0216+08,0.09,2.292672624960848,2.293,-0.61,20.35913442666288,31.722969241662195,-29.803998686689237
39628523018653064,J1541+3153,0.56,2.443263773795192,2.4435,-1.49,20.851646239978553,27.14435393585767,-20.56594586419963
39632994922662392,J0825+3544,0.39,3.6564306466492655,3.6567,-1.83,20.437900703118906,9.314503060940456,-17.340628145934392
39627645121466614,J2036-0553,0.07,2.2803233686380158,2.2805,-1.81,21.171282540270457,12.694903158631936,-16.141670528618192
39627497649736939,B0335-211,0.33,3.17969429759655,3.1799,-2.39,20.481100681100095,5.922910953022134,-14.75346997457855
39628526546061698,J0812+3208,0.02,2.6261625585831765,2.6263,-0.87,21.279048593563015,10.577458392409575,-11.362518319098548
39627790407960053,Q2231-002,0.14,2.0660505336947432,2.0661,-0.61,20.337986604385122,50.509014027998965,-4.836641088392335
39627615404819586,J2151-0707,0.04,2.3273547645638657,2.3274,-1.6,20.30196055230321,8.831731755107775,-4.075627392973141
39627766974382248,SDSS0127-00,0.05,3.728325700939097,3.7283,-2.42,21.212694512472705,17.549899437398583,1.6295386724143057
39628061490021911,Q0201+11,0.02,3.3869575538328927,3.3869,-1.2,21.188223240784936,8.626215937058276,3.933120205673683
39627766525594537,J2340-0053,0.02,2.0548355620319763,2.0545,-0.55,20.175468405988294,16.51508813349629,32.93467552058914
39627772607341892,Q2348-01,0.21,2.6150979296061783,2.6147,-1.93,21.190262569361238,23.56407720037848,33.003097005877635
39627703661364092,BRI1346-03,0.88,3.7364959703544782,3.7358,-2.28,20.51057420030013,11.700385416787576,44.05732152207059
39627580415935116,J0139-0824,0.05,2.678149372042581,2.6775,-1.15,20.675807159407974,9.375065255517782,52.93727826017623
39628354189529895,PSS0007+2417,1.34,3.496797418382492,3.496,-1.52,20.992899720693796,9.461037990447853,53.17171195322592
39627757788861566,J1257-0111,0.41,4.022060592468544,4.0208,-1.56,20.254456171321987,20.78185016407388,75.27009932302408
39627749408637065,Q0336-01,1.35,3.063181007900902,3.0621,-1.49,20.956758151438834,13.124803078648576,79.78090537622833
39632994922662392,J0825+3544,0.39,3.208475155834184,3.2073,-1.68,20.21560184204407,9.314503060940456,83.73609109478919
39628354189529895,PSS0007+2417,1.34,3.7060158200227407,3.7045,-1.27,20.276394181740145,9.461037990447853,96.59504952770045
39628354189529895,PSS0007+2417,1.34,3.8401486192036227,3.8382,-2.12,21.126491530719033,9.461037990447853,120.74352874210231
39628476264746128,PSS1535+2943,0.07,3.763587543748804,3.7612,-1.97,20.796166135840412,6.925545435038357,150.33344724784834
39627803582269719,J0255+00,0.1,3.2552224802589245,3.2529,-0.88,20.662888146395925,10.595665682035866,163.7146571702771
39628060407896588,J2141+1119,0.03,2.4296985153622788,2.4265,-1.92,20.499660425019584,8.438373183104506,279.8455515565002
