ID,ra,dec,z_abs,NHI,survey,NVSS_name,S1_4_mJy,e_S1_4_mJy,sep_arcsec,FIRST_Fpeak_mJy,FIRST_Fint_mJy,FIRST_Maj_arcsec,FIRST_Min_arcsec,compact_confirmed
39628055584442937,32.48658747926855,11.234615714800574,2.322809590252988,20.951475934681376,DESI,,,,,,,,,False
39628468111017219,35.897404810260284,29.45416673793589,4.072698537279735,20.342239304888,DESI,,,,,,,,,False
39628499455049903,32.04885222605272,30.95953298463478,2.022949570037163,20.72956238670164,DESI,,,,,,,,,False
39628311462151649,115.8371308943257,22.16250390291617,2.039721858674863,20.82384982372593,DESI,,,,,,,,,False
39632964925001822,110.30432078334132,34.20986784588315,3.323207331182482,21.0347638884766,DESI,,,,,,,,,False
39633190826019285,115.42116097253702,46.452057227070526,2.8343301150763147,20.622562374904973,DESI,,,,,,,,,False
39628029219048108,235.6571268436358,9.93302552259488,3.921114916754557,20.639991873612484,DESI,,,,,,,,,False
39632951666806481,240.66639071936208,33.55450694018933,2.378430432134243,20.66340958212782,DESI,,,,,,,,,False
39628353837207447,338.9058909486892,23.972239540531103,2.2244146316574,20.311667445585144,DESI,,,,,,,,,False
39633287068516556,283.1040572621142,52.40335487303606,2.280870256879526,20.52421343861831,DESI,,,,,,,,,False
39627544298786261,4.999602220474511,-9.876440798269453,2.3688994713106464,21.162091889953185,DESI,,,,,,,,,False
39627875648802065,20.35894866845601,3.785208664550696,3.924191877267232,21.03211587353888,DESI,012126+034706,78.1,2.400000095367432,1.1726991197347307,72.95,76.61,1.7000000476837158,0.36000001430511475,True
39628019890914673,31.764307990614505,9.683166578161988,3.9244841593695634,21.12784982616544,DESI,,,,,,,,,False
39628061435498050,27.77421600372408,11.437124203066109,2.286149808050272,20.49703175711036,DESI,015105+112614,42.6,1.2999999523162842,0.8033572468325055,43.32,43.53,0.8600000143051147,0.0,True
39628025532256101,12.889219328882811,10.070339475412688,2.5867952798588427,20.650465768661867,DESI,,,,,,,,,False
39627928991962339,328.35394036970075,5.771484796964739,3.851982771924405,20.61368919384441,DESI,,,,,,,,,False
39628055039184537,359.45855623548806,10.885241078209226,2.610530213282852,20.94336915344768,DESI,,,,,,,,,False
39628066921647023,1.1959271181928024,11.788821026089906,3.9495159644800335,20.78259059957563,DESI,,,,,,,,,False
39628108478811333,15.550071655523029,13.594199729981137,1.974372757453228,20.35707664952369,DESI,,,,,,,,,False
39628190045439524,6.625714575612434,16.949029615225786,2.705039678422576,21.05935965107896,DESI,,,,,,,,,False
39628309717322250,3.655051768199191,22.203480768538785,2.6535545142856507,20.638314578224023,DESI,,,,,,,,,False
39628488721828448,10.296552633894358,30.566400360754653,2.276616217472773,21.229652230636425,DESI,,,,,,,,,False
39627865427280023,130.18563880539136,3.136312771121183,2.133311154553427,20.67026701719997,DESI,,,,,,,,,False
39627595309908260,200.9367776739747,-8.122303046237933,2.40745511250663,20.534346452184806,DESI,,,,,,,,,False
39627914995566750,210.68925175533823,5.1985338847977305,2.699287007740914,20.40647787931338,DESI,,,,,,,,,False
39627673214913842,189.4387404167147,-4.71389540114366,2.2804628286614217,20.54251973988016,DESI,,,,,,,,,False
39627715044705448,166.55590622171303,-3.0778030546956323,2.4414147152247785,20.57424527374401,DESI,,,,,,,,,False
39627896179918338,166.04309997053053,4.574181646158937,2.050311305292016,20.679343367748203,DESI,,,,,,,,,False
39627762889133674,138.4123976656391,-1.1179582706743283,2.679800867897654,20.824414359406404,DESI,,,,,,,,,False
39627829331105031,138.73862398648,1.805493509302829,2.112897781533753,20.90949571670951,DESI,,,,,,,,,False
39627932607450554,184.666523094596,6.083880498737132,2.655987785122647,20.31299111907488,DESI,,,,,,,,,False
39627789938203693,310.6906315896309,0.0660919150257265,2.142762907020656,20.72513151771634,DESI,,,,,,,,,False
39627873329353669,242.0402033449979,3.427665883908627,2.136616565381156,20.56465585174132,DESI,,,,,,,,,False
39628029600728208,258.6247813469491,9.882573604164316,2.4450306987748185,20.969986683499485,DESI,,,,,,,,,False
39628199998531008,266.7231634663451,17.178466850118383,1.9990556672970896,20.430179145697444,DESI,,,,,,,,,False
39627568680275261,37.52123736354241,-8.963163433201974,2.3502516050511044,20.51429276940265,DESI,,,,,,,,,False
39627660296454227,137.13327678499377,-5.237403954825102,2.743969598294387,20.57731423748169,DESI,,,,,,,,,False
39627630147799297,132.07829490880744,-6.379015421073462,2.194707547121217,20.522795773119554,DESI,,,,,,,,,False
514623228,163.9223889,56.7407535,2.58661048,20.332439,SDSS,,,,,,,,,False
531686697,154.3578806,61.2743039,2.76777023,20.651126,SDSS,101725+611627,404.4,12.100000381469728,0.2495765875433057,467.47,476.65,0.8999999761581421,0.5899999737739563,True
438888113,239.5604659,40.8936122,2.55291114,20.320415,SDSS,,,,,,,,,False
400352403,189.6705603,34.6176091,2.47043829,20.76431,SDSS,,,,,,,,,False
356960035,163.9339965,28.506478,2.45767607,20.615434,SDSS,,,,,,,,,False
386711526,337.7266526,32.5355234,2.78864871,20.590848,SDSS,,,,,,,,,False
357580815,115.4718571,28.4844641,2.43782924,20.407078,SDSS,,,,,,,,,False
167657155,331.3981148,6.2688285,2.5390295,20.619804,SDSS,,,,,,,,,False
377573229,139.1867702,31.0422585,2.4204583,20.64526,SDSS,,,,,,,,,False
409006152,139.2632448,36.0561531,2.3326084,20.466276,SDSS,,,,,,,,,False
387016843,239.5360463,32.4644623,2.46325387,20.825844,SDSS,,,,,,,,,False
357433147,155.4868714,28.4599597,2.62814253,20.572638,SDSS,,,,,,,,,False
415765342,157.9839983,37.1515434,2.79738192,20.741112,SDSS,,,,,,,,,False
337474503,352.7698106,26.1127686,3.14747982,20.462636,SDSS,,,,,,,,,False
286256548,199.5400899,19.8460474,3.35897424,20.472254,SDSS,,,,,,,,,False
526796762,196.5536173,59.8861592,2.36267055,20.332755,SDSS,,,,,,,,,False
219792523,223.57743,12.1816319,2.4688401,20.477941,SDSS,,,,,,,,,False
488235138,123.6466458,50.4962126,3.70743466,21.039137,SDSS,,,,,,,,,False
77863991,21.7528777,-0.76644,3.72807439,20.908437,SDSS,,,,,,,,,False
146393570,23.4179864,4.0166034,3.69228412,20.655638,SDSS,,,,,,,,,False
220877041,136.2151916,12.3399572,3.11987842,20.51345,SDSS,,,,,,,,,False
398814479,190.5020552,34.2484348,2.93626415,20.394502,SDSS,,,,,,,,,False
512962328,140.7341786,56.3137032,3.94406545,20.629149,SDSS,,,,,,,,,False
191300069,153.4677615,8.8822489,2.30890547,20.670287,SDSS,,,,,,,,,False
380240248,126.0067902,31.5204589,2.83428367,20.558379,SDSS,,,,,,,,,False
144875103,347.7277173,3.8153097,2.61313545,20.805231,SDSS,,,,,,,,,False
145966598,325.377169,3.8962293,3.60028036,20.380312,SDSS,,,,,,,,,False
212390691,141.1178026,11.2103665,3.44820054,20.629578,SDSS,,,,,,,,,False
215894597,30.0032612,11.6396155,2.38753969,20.434337,SDSS,,,,,,,,,False
472541407,222.3191478,46.8981615,3.04468117,20.533911,SDSS,,,,,,,,,False
431071093,228.5278136,39.6812805,3.26367704,20.469977,SDSS,,,,,,,,,False
457400542,242.8315508,44.1955631,3.98177815,20.554566,SDSS,,,,,,,,,False
460325304,116.9572689,44.5714052,4.02093078,20.876328,SDSS,,,,,,,,,False
94135026,38.1308437,-0.0030039,3.60770112,20.498255,SDSS,,,,,,,,,False
438508218,127.8440716,40.7731659,4.33807044,20.883055,SDSS,,,,,,,,,False
407352752,162.8459894,35.7595305,4.82082325,20.424814,SDSS,,,,,,,,,False
387205842,180.5324218,32.59411,4.79941739,20.625817,SDSS,,,,,,,,,False
