ID,ra,dec,zDLA,NHI,SNR_FOREST,status,SiII1526_sigma,SiII1526_dv,SiII1526_3sigUL,CII1334_sigma,CII1334_dv,CII1334_3sigUL,OI1302_sigma,OI1302_dv,OI1302_3sigUL,AlII1670_sigma,AlII1670_dv,AlII1670_3sigUL,n_lines_ok,solo_hits,pair_hit,detected,candidate_metalpoor,max_3sig_UL
39627797567640604,45.46314572283163,0.5223629618140849,2.086372415102946,21.220478026795288,6.58879628845572,ok,22.571727348494125,250.0,0.1091095164773833,16.18814721216893,200.0,0.1372867863546103,15.617925442355398,200.0,0.1747173001232917,26.22316784801223,200.0,0.1167778215349825,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1747173001232917
39627809655623322,45.9167345864546,1.0992192582945373,2.3939297634242647,20.86130801897774,8.64125823032412,ok,22.4464705770112,300.0,0.109324763635833,2.4477658577395367,200.0,0.4929466319002539,-3.1388070357447213,200.0,0.2583672924963919,2.074172196920736,250.0,0.1142128315049328,4,SiII1526,True,True,False,0.4929466319002539
39627809634649639,44.55359328145616,1.1009255105709168,1.9697011163375784,20.725088117331804,6.177395867668281,ok,-0.802608553391418,200.0,0.0893656478519544,59.20603854851717,-450.0,0.0529363490518768,11.932928983177336,350.0,0.125754483574261,37.38217359493137,-450.0,0.0717073743435489,4,"CII1334,OI1302,AlII1670",True,True,False,0.125754483574261
39627815661864853,43.82031830176353,1.1928991409804517,1.975025715817295,20.862261472700723,8.337258705570555,ok,18.676910612481127,-500.0,0.115410214898808,20.749667864441257,-500.0,0.1600245780657815,11.988695790534754,-500.0,0.2719962459236613,27.29784150684633,-500.0,0.1069059346742705,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.2719962459236613
39627815670256963,44.41674411016407,1.2826892366318758,2.2759539398332125,20.542815793028584,6.6405987952851895,ok,34.662317905889225,-50.0,0.0816573096471836,52.62089299630378,50.0,0.0526330209034931,25.009999080203297,0.0,0.1172947804929298,35.009482161573416,0.0,0.0956670977342077,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1172947804929298
39627821718439126,44.790639846756186,1.3768612617637903,2.257537992596537,21.37494987876692,5.747250191574806,ok,24.55396708195119,150.0,0.1161331706629784,12.449230206699587,200.0,0.27695376739558,10.629137523095922,250.0,0.2548905382027026,25.53109124489959,150.0,0.1170678971955654,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.27695376739558
39627827762430762,45.02523716294771,1.844594370659013,2.130593706257029,20.82093498113317,11.03771472436406,ok,47.27590743689295,50.0,0.0602545969954336,21.731453156865623,100.0,0.0947301525293535,19.27739089947702,50.0,0.1275986298987863,45.57211861702572,50.0,0.0574477217083889,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1275986298987863
39627827762430762,45.02523716294771,1.844594370659013,2.0808346007750886,20.51609315668941,11.03771472436406,ok,59.04488915294445,-50.0,0.0504067853255155,30.42988354764413,-100.0,0.1020161873754893,22.961426269083823,-100.0,0.1055674013272267,52.41443459288087,-100.0,0.0667446249129021,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1055674013272267
39627833814811762,45.79743218108722,2.070038236022994,2.390184411946432,20.481449846018894,7.485150150968069,ok,35.06874658984922,200.0,0.0717626172261427,17.14372156907441,200.0,0.1564867993117794,12.603502196303635,300.0,0.187376755017855,16.78073218854193,200.0,0.1458682417779477,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.187376755017855
39627833768679531,43.20064149335568,1.884353695850589,2.4604864502953947,20.486742539714434,11.56369788343164,ok,13.68749242245866,0.0,0.082294362779734,27.332000571903222,0.0,0.0573663369642366,23.30813049139237,0.0,0.0474591187365917,9.504129439780405,0.0,0.0858573313311686,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.0858573313311686
39627870095543670,48.98068754947315,3.3942522877859456,2.196540984666569,22.3278848549802,7.014966653663157,ok,4.795801789798245,-200.0,0.3664070139360041,3.415616089872576,-50.0,0.2493518886063876,2.6058775037471262,0.0,0.8726339333804018,2.2288638897047623,100.0,0.1643346110367214,4,"SiII1526,CII1334",True,True,False,0.8726339333804018
39627870095543670,48.98068754947315,3.3942522877859456,2.7301674451640645,21.127819087691915,7.014966653663157,ok,2.0829272864814627,-500.0,0.2075987751797426,2.555605726436853,250.0,0.4068031531779383,9.712255260970789,-100.0,0.2247909505343195,6.255974315982284,450.0,0.2931009974360334,4,"OI1302,AlII1670",False,True,False,0.4068031531779383
39627851875486301,42.32695522988994,2.843233789292411,2.449401084245192,21.241093252037537,12.972183160830545,ok,24.706475971527837,50.0,0.0669483713984181,34.09507729034234,350.0,0.0623734063467904,27.2837608714187,50.0,0.0639972581724648,18.742895832203743,50.0,0.0788749776427364,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.0788749776427364
39627851875487669,42.36757264218411,2.75371941046926,2.7750246698446066,20.38115029385938,8.59616880025223,ok,2.1334080063395,50.0,0.1236450358830762,4.722544941369738,300.0,0.1155882722869503,21.85450848949988,150.0,0.1111286933271463,3.8080369505242846,50.0,0.124072795314372,4,"CII1334,OI1302,AlII1670",True,True,False,0.124072795314372
39627869994883102,42.99675577604231,3.4478089023315777,2.382893006630119,20.50228546281278,14.072781022673976,ok,57.22723254205791,150.0,0.040518802817821,37.08425927770292,-350.0,0.0726250529636551,24.124436329558637,100.0,0.1000199726951467,25.274627139750365,200.0,0.0820871976374718,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.1000199726951467
39627888068134006,41.59245609078001,4.175099499689948,3.266513062170097,20.39127197989492,10.101538234349215,ok,38.79052506193098,50.0,0.0601677399100165,72.03890442916875,50.0,0.0297887087184038,68.88332046098861,0.0,0.0310672006647959,47.48585531114799,50.0,0.0449772247653613,4,"SiII1526,CII1334,OI1302,AlII1670",True,True,False,0.0601677399100165
39627888068134006,41.59245609078001,4.175099499689948,3.073433340417164,20.351585644376865,10.101538234349215,ok,19.981832991207643,-50.0,0.0710062046486598,37.15628988837013,250.0,0.0663225243909491,18.419164486392617,400.0,0.0927352680159357,7.947472615617763,50.0,0.0797073697518986,4,"SiII1526,CII1334,OI1302,AlII1670",False,True,False,0.0927352680159357
39627894141489897,44.28822568108469,4.58377227598667,2.099058110958704,20.67936450566848,17.775774876609596,ok,0.7524800033082958,100.0,0.1229734743972754,1.8237472060140811,200.0,0.1284391026682146,9.511687589658637,500.0,0.1512462345071881,3.9416665846788073,500.0,0.1253633224177155,4,"OI1302,AlII1670",True,True,False,0.1512462345071881
