ID,survey,z_abs,line,lam_obs_nm,arm,band_used,mag_cont,z_qso,forest_applies,mag_corr,mag_eff,sn_at_1hr,EW3sig_1hr_A,EW3sig_2hr_A,note
39628066921647023,DESI,3.949516,SiII1526,755.2961415999999,VIS,imag,18.281,4.030830565458142,False,0.0,18.281,92.81111710201688,0.017085424611713574,0.012081219602394205,
39628066921647023,DESI,3.949516,CII1334,660.2654344,VIS,rmag,18.6721,4.030830565458142,False,0.0,18.6721,64.73810758222646,0.02141248503443408,0.015140913369903803,
39628066921647023,DESI,3.949516,OI1302,644.4269832,VIS,rmag,18.6721,4.030830565458142,False,0.0,18.6721,64.73810758222646,0.020898842215017366,0.014777713049186467,
39628066921647023,DESI,3.949516,AlII1670,826.569172,VIS,zmag,18.2472,4.030830565458142,False,0.0,18.2472,95.74585903337771,0.018124570089559065,0.012816006416418085,
39627873329353669,DESI,2.136617,SiII1526,478.6477542,UVB,gmag,19.4232,2.379150252262983,False,0.0,19.4232,67.7204756792163,0.025829328022896177,0.01826409299848161,
39627873329353669,DESI,2.136617,CII1334,418.4247078,UVB,gmag,19.4232,2.379150252262983,False,0.0,19.4232,67.7204756792163,0.02257950431359338,0.01596612061597278,
39627873329353669,DESI,2.136617,OI1302,408.3875334,UVB,gmag,19.4232,2.379150252262983,True,0.17263381716644405,19.595833817166444,57.765225510923855,0.025835869676598122,0.018268718646174423,
39627873329353669,DESI,2.136617,AlII1670,523.8150390000001,UVB,gmag,19.4232,2.379150252262983,False,0.0,19.4232,51.3712342205627,0.03726276222149834,0.02634875185256337,
39627544298786261,DESI,2.368899,SiII1526,514.0939874,UVB,gmag,19.4343,2.578142305095886,False,0.0,19.4343,50.84871706963217,0.0369470362537407,0.026125499879765257,
39627544298786261,DESI,2.368899,CII1334,449.4111266,UVB,gmag,19.4343,2.578142305095886,False,0.0,19.4343,67.03166392399086,0.02450083596545293,0.017324707255911016,
39627544298786261,DESI,2.368899,OI1302,438.63064979999996,UVB,gmag,19.4343,2.578142305095886,False,0.0,19.4343,67.03166392399086,0.023913109765382086,0.016909122074359923,
39627544298786261,DESI,2.368899,AlII1670,562.606133,VIS,rmag,19.0663,2.578142305095886,False,0.0,19.0663,45.02772447771867,0.02623209475853259,0.018548892088486483,
356960035,SDSS,2.457676,SiII1526,527.6413576,UVB,gmag,19.6254,2.467627,False,0.0,19.6254,42.64223900450016,0.04521847496018855,0.03197429027926342,
356960035,SDSS,2.457676,CII1334,461.25397840000005,UVB,gmag,19.6254,2.467627,False,0.0,19.6254,56.21341891481522,0.029985908206516906,0.021203239032865445,
356960035,SDSS,2.457676,OI1302,450.1894152,UVB,gmag,19.6254,2.467627,False,0.0,19.6254,56.21341891481522,0.029266606060633436,0.020694615607789214,
356960035,SDSS,2.457676,AlII1670,577.4318920000001,VIS,rmag,19.4628,2.467627,False,0.0,19.4628,31.252157187968386,0.038790848288369026,0.027429271872684312,
39628061435498050,DESI,2.28615,SiII1526,501.46649,UVB,gmag,18.6205,2.4350312347648586,False,0.0,18.6205,107.59695972076858,0.017031739233526338,0.012043258307427442,
